Deutschkreutz;<10801>;1530;;1650
Oberpullendorf;<10816>;1593;;1693
Eisenstadt;<10101>;7600;;8129
Hornstein;<10304>;1560;;1710
Neufeld an der Leitha;<10309>;1750;;1892
Siegendorf;<10315>;1577;;1671
Steinbrunn;<10316>;1533;;1536
Mattersburg;<10606>;3616;;3898
Neudörfl;<10607>;2395;;2526
Pöttsching;<10609>;1512;;1584
Bruckneudorf;<10703>;1481;;1604
Gols;<10707>;1957;;2054
Kittsee;<10711>;1780;;1850
Neusiedl am See;<10713>;4300;;4617
Parndorf;<10717>;2613;;2713
Güssing;<10405>;1744;;1866
Jennersdorf;<10504>;2039;;2104
Großpetersdorf;<10905>;1715;;1897
Oberwart;<10917>;3727;;4271
Pinkafeld;<10918>;2876;;3063
Waidhofen an der Ybbs;<30301>;5524;;5602
Amstetten;<30502>;11783;;12119
Ardagger;<30503>;1830;;1760
Aschbach-Markt;<30504>;1885;;1925
Behamberg;<30506>;1782;;1697
Ennsdorf;<30508>;1618;;1620
Haag;<30514>;2849;;2904
Haidershofen;<30515>;1899;;1827
Neuhofen an der Ybbs;<30520>;1570;;1495
St. Peter in der Au;<30530>;2540;;2601
St. Valentin;<30531>;4745;;4629
Seitenstetten;<30532>;1734;;1691
Sonntagberg;<30533>;1838;;1875
Ybbsitz;<30543>;1705;;1639
Loosdorf;<31520>;1913;;1989
Mank;<31521>;1645;;1690
Melk;<31524>;2710;;2884
Pöchlarn;<31533>;1953;;2047
St. Leonhard am Forst;<31539>;1554;;1492
Ybbs an der Donau;<31549>;2846;;2807
Purgstall an der Erlauf;<32008>;2707;;2659
Scheibbs;<32013>;2016;;2221
Wieselburg;<32016>;2249;;2423
Wieselburg-Land;<32017>;1686;;1746
Wiener Neustadt;<30401>;23338;;24540
Berndorf;<30605>;4395;;4561
Enzesfeld-Lindabrunn;<30608>;2029;;2197
Hainfeld;<31403>;1915;;1915
St. Veit an der Gölsen;<31412>;1906;;1927
Traisen;<31413>;1662;;1752
Gloggnitz;<31810>;2810;;3085
Neunkirchen;<31818>;6171;;6643
Ternitz;<31839>;7083;;7610
Bad Erlach;<32306>;1517;;1705
Bad Fischau-Brunn;<32301>;1741;;1819
Ebenfurth;<32304>;1518;;1624
Eggendorf;<32305>;2501;;2583
Felixdorf;<32307>;2211;;2291
Katzelsdorf;<32313>;1569;;1644
Lanzenkirchen;<32316>;2093;;2184
Markt Piesting;<32319>;1534;;1611
Sollenau;<32327>;2653;;2799
Theresienfeld;<32330>;2071;;2118
Wöllersdorf-Steinabrückl;<32337>;2466;;2542
St. Pölten;<30201>;28364;;29275
Altlengbach;<31901>;1511;;1670
Böheimkirchen;<31903>;2507;;2625
Eichgraben;<31905>;2386;;2417
Herzogenburg;<31912>;3851;;4085
Kirchberg an der Pielach;<31918>;1592;;1603
Maria Anzbach;<31921>;1570;;1720
Neulengbach;<31926>;4173;;4436
Ober-Grafendorf;<31929>;2381;;2391
Pyhra;<31934>;1816;;1837
Traismauer;<31943>;3211;;3263
Wilhelmsburg;<31947>;3180;;3281
Krems an der Donau;<30101>;12350;;12921
Gmünd;<30908>;2508;;2665
